slug,id,name,category,pricefrom,price,unit,shortdesc,description,image,pricetables_json
pelchir,pelchir,Пелчир,lososevye-porody,от 1.149 руб.,1149,кг,"Гибрид пеляди и чира, отличающийся хорошей адаптацией к прудовому выращиванию.","Пелчир – гибрид пеляди и чира. Он растёт примерно в 1,5 раза быстрее и выживает в 4-5 раз лучше, чем его родительские формы. Эта холодолюбивая рыба требует прохладной, чистой и богатой кислородом воды.

При этом он унаследовал от пеляди способность легко адаптироваться к новым условиям, что делает его перспективным для промышленного разведения.",/images/fish/Pelchir/Пелчир.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
pelyad,pelyad,Пелядь,lososevye-porody,от 1.149 руб.,1149,кг,"Озёрная сиговая рыба, быстро растущая и подходящая для зарыбления.","Пелядь — рыба из рода сигов, отличается от других видов этого рода тем, что верхняя челюсть немного длиннее нижней. Хотя она считается озёрно-речной рыбой, пелядь хорошо адаптируется к искусственным водоёмам, если созданы подходящие условия. В её рацион входят ракообразные, и она предпочитает спокойные воды. 

Окрас пеляди серебристый, спина более тёмная (серая), с мелкими чёрными точками на голове и спинном плавнике. Взрослые особи достигают 50-55 см в длину и 4-5 кг веса.",/images/fish/Pelad/Пелядь.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
zolotaya-forel,zolotaya-forel,Золотая форель,lososevye-porody,от 1.149 руб.,1149,кг,Декоративная форма форели с яркой золотистой окраской.,"Золотая форель – рыба из семейства лососевых. Может достигать внушительных размеров: почти 100 см в длину и около 20 кг веса. Отличительной чертой является ее ярко-золотистая окраска. Молодые особи имеют цвет от серебристого до лимонно-золотого.

Вдоль всего тела располагаются серовато-коричневые пятна, а на спине и хвостовой части – мелкие черные точки. Для нормальной жизни форели необходима вода, богатая кислородом, так как недостаток кислорода угнетает ее рост и развитие. Не любит яркий свет, предпочитая глубину и укрытия под камнями и корягами. При этом она часто держится у поверхности, заглатывая воздух для наполнения плавательного пузыря. Поэтому зимой важно обеспечивать проруби во льду, чтобы рыба могла выжить.",/images/fish/ZolotayaForel/Золотаяфорель.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
ozernaya-forel,ozernaya-forel,Озерная форель,lososevye-porody,от 1.100 руб.,1100,кг,"Холодноводная рыба, обитающая в глубоких чистых озёрах.","Озерная форель – очень красивая, подвижная рыба семейства лососевых, которую мечтает заполучить каждый рыбак. Она достигает длины 50 см и веса до 8 кг. Эта рыба – хищница. Форель имеет очень красивый и необычный окрас: серебристое тело с черными пятнышками по бокам и золотистое брюшко. 

Форель считается престижной и дорогой рыбой, поэтому не каждый может себе позволить наличие такой рыбы в пруду.",/images/fish/OzernayaForel/Озернаяфорель.png,"[{""title"":""Оптовая цена от 1.100 руб./кг.\nДлина от 20-37 см.\nВес 600 гр.- 1,5 кг."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.100 руб.""},{""volume"":""От 100 кг"",""price"":""1.200 руб.""}]}]"
nalim,nalim,Налим,hishchnye-porody,от 495 руб./кг,495,кг,"Единственная пресноводная рыба из тресковых, активная в холодное время года.","Налим — хищник из семейства тресковых, живущий в пресных водах. Эту рыбу часто можно встретить в частных прудах. Налим считается показателем экологически чистого места. Его появление означает, что водоём с хорошей водой.

Активность налим проявляет ночью, а днем опускается на дно. Обычная масса налима 1-3 кг, хотя иногда встречаются особи массой более 10 кг. Эту рыбу легко спутать с сомом или речной змеей, но налима от них отличают два коротких усика.

Эта уникальная рыба станет украшением вашего пруда и приятным уловом, которую даже не придется чистить от чешуи!",/images/fish/Nalim/Налим.png,"[{""title"":""Оптовая цена от 495 руб./кг.\nДлина от 14-100 см.\nВес 70 гр. - 10 кг."",""rows"":[{""volume"":""От 1000 кг"",""price"":""495 руб./кг""},{""volume"":""От 300 кг"",""price"":""700 руб./кг""},{""volume"":""От 200 кг"",""price"":""1100 руб./кг""},{""volume"":""От 100 кг"",""price"":""1980 руб./кг""}]}]"
okun,okun,Окунь,hishchnye-porody,от 600 руб.,600,кг,"Хищная полосатая рыба, распространённая в пресных водоёмах.","Окунь – самая распростроненная пресноводная рыба. Она отличается своим красивым окрасом: темные поперечные полосы на светлом теле и яркие плавники.

Окунь – хищник, питается мелкой рыбой. Вес взрослого окуня обычно не превышает 2 кг.",/images/fish/Okyn/Окунь.png,"[{""title"":""Цена от 600 руб./шт.\nДлина от 12-37 см.\nВес 50 гр.- 600 гр."",""rows"":[{""volume"":""От 300 шт"",""price"":""600 руб.""},{""volume"":""От 100 шт"",""price"":""700 руб.""},{""volume"":""От 50 шт"",""price"":""750 руб.""},{""volume"":""От 10 шт"",""price"":""800 руб.""}]}]"
som,som,Сом,hishchnye-porody,от 180 руб.,180,кг,"Крупная донная рыба без чешуи, способная достигать внушительных размеров.","Сом — крупная пресноводная донная рыба. Предпочитает хорошо прогреваемые водоемы со слабым течением. Тело сома вытянутое с широкой головой и голой кожей без чешуи, большим ртом и тремя парами усиков.

Может достигать длины до 5 метров и массы до 300 кг! Сом — ночной хищник, питающийся рыбой, ракообразными и другими водными животными. Обитает в глубоких ямах и омутах рек и озёр. Эта рыба может жить до 30 лет.",/images/fish/Som/Сом.png,"[{""title"":""Розничная цена от 180 руб./шт."",""rows"":[{""volume"":""От 300 шт"",""price"":""180 руб.""},{""volume"":""От 200 шт"",""price"":""230 руб.""},{""volume"":""От 100 шт"",""price"":""280 руб.""},{""volume"":""От 50 шт"",""price"":""330 руб.""}]},{""title"":""Оптовая цена от 1300 руб./кг.\nДлина от 1-3,5 м.\nВес 8-22 кг"",""rows"":[{""volume"":""От 200 кг"",""price"":""1300 руб./кг""},{""volume"":""От 100 кг"",""price"":""1600 руб./кг""},{""volume"":""От 100 кг"",""price"":""1950 руб./кг""}]}]"
sudak,sudak,Судак,hishchnye-porody,от 28 руб./шт,28,кг,"Хищная рыба с ценным белым мясом, предпочитающая чистую воду.","Судак – самый крупный представитель семейства окуневых. Это хищная рыба, внешне напоминающая окуня, только гораздо крупнее (максимальная длина судака – 1,3 м, вес – до 20 кг).",/images/fish/Sudak/Судак.png,"[{""title"":""Цена от 28 руб./шт.\nРазмер 3-5 см"",""rows"":[{""volume"":""От 10 000 шт"",""price"":""28 руб./шт""}]},{""title"":""Оптовая цена от 1.400 руб./кг.\nРазмер 33-55 см, вес 0,4-2,5 кг."",""rows"":[{""volume"":""От 500 кг"",""price"":""1.400 руб./кг""},{""volume"":""От 300 кг"",""price"":""1.490 руб./кг""},{""volume"":""От 100 кг"",""price"":""1780 руб./кг""}]}]"
ugor,ugor,Угорь,hishchnye-porody,от 1.149 руб.,1149,кг,"Змеевидная рыба, способная мигрировать между пресной и морской водой.","Угорь – пресноводная рыба семейства угревых, внешне похожая на змею. Он имеет длинное, черное или зеленовато-коричневое тело, длина которого может достигать 2 м, а вес до 6 кг (обычно 0,5-1 м и 0,7-1 кг).

Чешуя очень мелкая, погруженная в кожу. Питается угорь мелкой рыбой.
Угорь – полезная рыба, которая помогает избавиться от головастиков в пруду.",/images/fish/Ugor/Угорь.png,"[{""title"":""Оптовая цена от 1.149 руб./кг.\nДлина от 20-37 см.\nВес 100 гр.- 600 гр."",""rows"":[{""volume"":""От 200 кг"",""price"":""1.149 руб.""},{""volume"":""От 100 кг"",""price"":""1.599 руб.""}]}]"
shchuka,shchuka,Щука,hishchnye-porody,от 500 руб./кг,500,кг,Засадный хищник с вытянутым телом и острыми зубами.,"Щука – хищная рыба семейства Щуковые. Ее тело вытянутое, немного сжатое с боков; окраска обычно зеленовато-серая со светлыми пятнами. Питается живой мелкой рыбой.

Может достигать длины до 1,5 м и веса до 30 кг, хотя чаще встречаются особи весом до 8-10 кг. Щука – рыба-долгожитель, встречались особи, окольцованные золотым кольцом царских времен!",/images/fish/Shuka/Щука.png,"[{""title"":""Оптовая цена от 500 руб./кг.\nРазмер 40-130 см.\nВес 300 гр-25 кг."",""rows"":[{""volume"":""От 1000 кг"",""price"":""500 руб./кг""},{""volume"":""От 100 кг"",""price"":""800 руб./кг""}]}]"
karp-koi,karp-koi,Карп кои,dekorativnye-ryby,от 400 руб.,400,кг,Декоративная разновидность карпа с яркой многоцветной окраской.,"Карп кои (японский карп) – декоративный вид карпа, выведенный в Японии. Имеет яркий, гармоничный и разнообразный окрас. Эти карпы узнают хозяина, который их кормит и могут принимать пищу с его рук.",/images/fish/KarpKoi/Карпкои.png,"[{""title"":""Цена от 400 руб./шт.\nРазмер от 8-17 см."",""rows"":[{""volume"":""От 300 шт"",""price"":""400 руб.""},{""volume"":""От 200 шт"",""price"":""450 руб.""},{""volume"":""До 100 шт"",""price"":""550 руб.""},{""volume"":""От 50 шт"",""price"":""600 руб.""},{""volume"":""От 10 шт"",""price"":""650 руб.""}]}]"
vualevyy-karp,vualevyy-karp,Вуалевый карп,dekorativnye-ryby,от 400 руб.,400,кг,Декоративная форма карпа с длинными плавниками и эффектным внешним видом.,"Вуалевый карп кои, известный также как кои-бабочка, выделяется среди обычных кои своими необычайно длинными плавниками. Эти плавники, развевающиеся при движении, придают рыбе сходство с изящной бабочкой, парящей в воде.",/images/fish/VualevyiKarpKoi/Вуалевыйкарпкои.png,"[{""title"":""Цена от 400 руб./шт.\nРазмер от 8-17 см."",""rows"":[{""volume"":""От 300 шт"",""price"":""400 руб.""},{""volume"":""От 200 шт"",""price"":""450 руб.""},{""volume"":""До 100 шт"",""price"":""550 руб.""},{""volume"":""От 50 шт"",""price"":""600 руб.""},{""volume"":""От 10 шт"",""price"":""650 руб.""}]}]"
zolotoy-yaz,zolotoy-yaz,Золотой язь,dekorativnye-ryby,от 400 руб.,400,кг,Декоративная форма язя с яркой золотистой окраской.,"Золотой язь, или орфа, — редкая и очень красивая рыба. Возможно, именно она, а не карп или карась, послужила прообразом «золотой рыбки». Это активная и выносливая рыба, устойчивая к болезням и хорошо переносящая зимы. 

Она прекрасно чувствует себя в стоячей воде, плавает стаями у поверхности, радуя глаз наблюдателя. Часто можно увидеть, как орфа охотится на упавших в воду насекомых. Орфа всеядна и склонна к хищничеству, питаясь насекомыми, червями, водорослями, а также мелкими лягушками и мальками. Размеры зависят от водоёма и могут достигать 4 кг.",/images/fish/ZolotoiYaz/Золтойязь.png,"[{""title"":""Цена от 400 руб./шт.\nРазмер от 8-17 см."",""rows"":[{""volume"":""От 300 шт"",""price"":""400 руб.""},{""volume"":""От 200 шт"",""price"":""450 руб.""},{""volume"":""До 100 шт"",""price"":""550 руб.""},{""volume"":""От 50 шт"",""price"":""600 руб.""},{""volume"":""От 10 шт"",""price"":""650 руб.""}]}]"
belyy-dekorativnyy-karas,belyy-dekorativnyy-karas,Белый декоративный карась,dekorativnye-ryby,от 400 руб.,400,кг,Прудовая декоративная рыба с чисто-белой окраской.,"Белый декоративный карась — прекрасное украшение для пруда. Эти рыбки быстро растут, достигая в среднем 23–33 см, и при правильном уходе могут прожить до 20–30 лет. 

Они стайные и миролюбивые, легко приручаются и хорошо ладят с другими рыбами. Приобретая небольшую стайку, вы можете рассчитывать на пополнение, так как половая зрелость у них наступает на 2-3 году жизни.",/images/fish/BelyiDecorativnyiKaras/Белыйдекоративныйкарась.png,"[{""title"":""Цена от 400 руб./шт.\nРазмер от 8-17 см."",""rows"":[{""volume"":""От 300 шт"",""price"":""400 руб.""},{""volume"":""От 200 шт"",""price"":""450 руб.""},{""volume"":""До 100 шт"",""price"":""550 руб.""},{""volume"":""От 50 шт"",""price"":""600 руб.""},{""volume"":""От 10 шт"",""price"":""650 руб.""}]}]"
zolotaya-rybka,zolotaya-rybka,Золотая рыбка,dekorativnye-ryby,от 280 руб.,280,кг,Популярная декоративная рыба для прудов и аквариумов с разнообразными формами.,"Золотая рыбка — прекрасное украшение для пруда. Эти рыбки быстро растут, достигая в среднем 23–33 см, и при правильном уходе могут прожить до 20–30 лет. Они стайные и миролюбивые, легко приручаются и хорошо ладят с другими рыбами. Приобретая небольшую стайку, вы можете рассчитывать на пополнение, так как полов ая зрелость у них наступает на 2-3 году жизни.",/images/fish/ZolotayaRybka/Золотаярыбка.png,"[{""title"":""Цена от 280 руб./шт.\nРазмер от 7-17 см."",""rows"":[{""volume"":""От 300 шт"",""price"":""280 руб.""},{""volume"":""От 200 шт"",""price"":""300 руб.""},{""volume"":""До 100 шт"",""price"":""350 руб.""},{""volume"":""От 50 шт"",""price"":""400 руб.""},{""volume"":""От 10 шт"",""price"":""450 руб.""}]}]"
krasnyy-dekorativnyy-karas,krasnyy-dekorativnyy-karas,Красный декоративный карась,dekorativnye-ryby,от 280 руб.,280,кг,Яркая прудовая рыба с насыщенной красной окраской.,"Красный декоративный карась — прекрасное украшение для пруда. Эти рыбки быстро растут, достигая в среднем 23–33 см, и при правильном уходе могут прожить до 20–30 лет. 

Они стайные и миролюбивые, легко приручаются и хорошо ладят с другими рыбами. Приобретая небольшую стайку, вы можете рассчитывать на пополнение, так как половая зрелость у них наступает на 2-3 году жизни.",/images/fish/KrasnyiDekorativnyiKaras/Красныйдекоративныйкарась.png,"[{""title"":""Цена от 280 руб./шт.\nРазмер от 7-17 см."",""rows"":[{""volume"":""От 300 шт"",""price"":""280 руб.""},{""volume"":""От 200 шт"",""price"":""300 руб.""},{""volume"":""До 100 шт"",""price"":""350 руб.""},{""volume"":""От 50 шт"",""price"":""400 руб.""},{""volume"":""От 10 шт"",""price"":""450 руб.""}]}]"
limonnyy-dekorativnyy-karas,limonnyy-dekorativnyy-karas,Лимонный декоративный карась,dekorativnye-ryby,от 280 руб.,280,кг,Декоративная рыба с необычной жёлто-лимонной окраской.,"Лимонный декоративный карась — прекрасное украшение для пруда. Эти рыбки быстро растут, достигая в среднем 23–33 см, и при правильном уходе могут прожить до 20–30 лет. 

Они стайные и миролюбивые, легко приручаются и хорошо ладят с другими рыбами. Приобретая небольшую стайку, вы можете рассчитывать на пополнение, так как половая зрелость у них наступает на 2-3 году жизни.",/images/fish/LimonnyiDecorativnyiKaras/Лимонныйдекоративныйкарась.png,"[{""title"":""Цена от 280 руб./шт.\nРазмер от 7-17 см."",""rows"":[{""volume"":""От 300 шт"",""price"":""280 руб.""},{""volume"":""От 200 шт"",""price"":""300 руб.""},{""volume"":""До 100 шт"",""price"":""350 руб.""},{""volume"":""От 50 шт"",""price"":""400 руб.""},{""volume"":""От 10 шт"",""price"":""450 руб.""}]}]"
kometa,kometa,Комета,dekorativnye-ryby,от 280 руб.,280,кг,Разновидность золотой рыбки с удлинённым телом и длинным хвостом.,"Комета - декоративный вид карася. Эти рыбки тайные и миролюбивые, как и все декоративные виды поедают корм с руки. Хорошо уживаются между собой и с другими видами рыб. У нас вы можете приобрести несколько видов кометы: лимонную, красную, белую, черную.",/images/fish/Kometa/Комета.png,"[{""title"":""Цена от 280 руб./шт.\nРазмер от 7-17 см."",""rows"":[{""volume"":""От 300 шт"",""price"":""280 руб.""},{""volume"":""От 200 шт"",""price"":""300 руб.""},{""volume"":""До 100 шт"",""price"":""350 руб.""},{""volume"":""От 50 шт"",""price"":""400 руб.""},{""volume"":""От 10 шт"",""price"":""450 руб.""}]}]"
rechnaya-dreysena,rechnaya-dreysena,Речная дрейссена,prochee,от 100 руб.,100,шт,"Двустворчатый моллюск-фильтратор, способствующий естественной очистке воды.","Речная дрейссена играет важную роль в поддержании чистоты пруда, выполняя естественную биологическую очистку воды. Она фильтрует взвеси, уменьшая цветение воды и насыщая ее кислородом.

Кроме того, дрейссена способствует улучшению санитарного состояния водоема, поедая инфузорий и других мелких паразитов.",/images/fish/Dreissena/Дреиссена.png,"[{""title"":""Цена от 100 руб./шт.\nКоличество и размер уточняются перед отгрузкой."",""rows"":[{""volume"":""От 500 шт"",""price"":""100 руб.""},{""volume"":""От 100 шт"",""price"":""130 руб.""}]}]"
perlovitsy,perlovitsy,Перловицы,prochee,от 100 руб.,100,шт,"Крупные пресноводные моллюски, улучшающие прозрачность водоёма.","Перловицы – моллюски, имеют перламутровый слой внутри раковины. Пропускают через себя воду, профильтровывают от микропланктона. Вода в прудах, в которых они живут, чище.",/images/fish/Perlovitsy/Перловицы.png,"[{""title"":""Цена от 100 руб./шт.\nКоличество и размер уточняются перед отгрузкой."",""rows"":[{""volume"":""От 500 шт"",""price"":""100 руб.""},{""volume"":""От 100 шт"",""price"":""130 руб.""}]}]"
raki-prudovye,raki-prudovye,Раки прудовые,prochee,от 500 руб.,500,шт,"Пресноводные ракообразные, подходящие для разведения и поддержания экосистемы пруда.","В пруду мирные рыбы подвергаются опасности: их могут кусать насекомые, такие как жуки-плавунцы и личинки стрекоз, что иногда приводит к гибели. Кроме того, хищники часто отрыгивают непереваренную рыбу, а некоторые рыбы умирают во время зимовки. 

Чтобы избежать распространения гнилостных бактерий от разлагающихся останков, в пруду необходим «санитар» — рак. Он эффективно очищает кости умерших рыб, предотвращая размножение опасных бактерий. Рак — лучший выбор для поддержания чистоты в пруду.",/images/fish/Rak/Рак.png,"[{""title"":""Цена от 500 руб./шт.\nРазмер и количество уточняются перед отгрузкой."",""rows"":[{""volume"":""От 200 шт"",""price"":""500 руб.""},{""volume"":""От 50 шт"",""price"":""650 руб.""}]}]"
ruba,ruba,Рыба,prochee,от 90000 руб.,8000000000,шт,такая вот рыбка,такая вот рыбка водится в воде и все у нее хорошо ,/images/uploads/ava5.png,
